"make","alias"
"Acura","ACUR,ACU"
"Alfa Romero","ALFA"
"Aston Martin","ASTO"
"Auburn","AUBU"
"Audi","AUDI"
"Bentley","BENT"
"Bugatti","BUGA"
"Buick","BUIC"
"Cadillac","CADI"
"Checker","CHEC"
"Chevrolet","CHEV"
"Chrysler","CHRY"
"Daewoo","DAEW"
"Daihatsu","DAIH"
"Datsun","DATS"
"Dodge","DODG"
"Ducati","DUCA"
"Ferrari","FERR"
"Fiat","FIAT"
"Ford","FORD"
"Freightliner","FRHT,FRLI,FREI,FREI,FRLN,FRTL"
"Fisker","FSKR"
"Geo Metro","GEO"
"Grumman","GRUM"
"Harley-Davidson","HD,HRLY,HARL"
"Hino","HNO,HINO"
"Honda","HOND"
"Hummer","HUMM,HUMR"
"Hyundai","HYND,HYUN,HYN,HYD,HYUD,HUND"
"Infinity","INFI,INF"
"International","INTL,INT,INTE"
"Isuzu","ISU,ISUZ"
"Jaguar","JAGU,JAG,JAGR"
"Jamboree","JAMB"
"Jeep","JEEP,WRAN"
"Kawasaki","KAWK,KAWA"
"Kia","KIA"
"Kenworth","KW,KENW"
"Lamborghini","LAMO,LAMB"
"Lexus","LEXS,LEXU,LEX,LXUS"
"Lincoln","LINC"
"Land Rover","LNDR,RROV,LROV,RANG,LAND,LROV,LRVR,ROVE,ROV,ROVR,RRVR"
"Mack","MACK"
"Maserati","MASE"
"Mazda","MAZD,MAZ,MADZ"
"Mercedes Benz","MBNZ,MBNZ,MERZ,BENZ,MBZ"
"Mercury","MERC"
"Mitsubishi","MITS,MITZ"
"Mini","MNNI,MINI"
"Nissan","NISS"
"Oldsmobile","OLDS"
"Other","OTHR,OTHE"
"Peugeot","PEUG"
"Plymouth","PLYM"
"Pontiac","PONT"
"Porsche","PORS,POR,PORC"
"Peterbuilt","PTRB,PETE"
"Ram","RAM"
"Renault","RENA"
"Rolls-Royce","ROL,ROLL,ROLS"
"Saab","SAA,SAAB"
"Scion","SCIO"
"Smart","SMRT,SMAR"
"Saturn","STRN,SATU,SAT,SATN,SATR"
"Sterling","STLG"
"Subaru","SUBA,SUB,SUBU"
"Suzuki","SUZI,SUZU,SUZ,SUZK"
"Tioga","TIOG"
"Toyota","TOYT,TOYO"
"Triumph","TRIU"
"Tesla","TSMR,TESL,TSLA,TES"
"Unknown","UNKN,UNK"
"Vespa","VESP"
"Volkswagen","VOLK,VW"
"Volvo","VOLV"
"Winnebago","WINN,WNBG"
"Yamaha","YAMA"
